time_s,linear_x,angular_z,marker,flag
2944.2508,0.6673,-0.86,driving,
2944.2514,0.6958,-0.86,driving,
2944.2584,0.6958,-0.8183,driving,
2944.2590,0.89,-0.8183,driving,
2944.2644,0.89,-0.4231,driving,
2944.2724,0.89,-0.1636,driving,
2944.2798,0.89,-0.1238,driving,
2944.2873,0.89,-0.0,driving,
2944.3101,0.89,-0.0,driving,
2944.3327,0.89,0.03,driving,
2944.3403,0.89,0.0635,driving,
2944.3467,0.89,0.096,driving,
2944.3554,0.89,0.1268,driving,
2944.3617,0.89,0.1566,driving,
2944.3704,0.89,0.1865,driving,
2944.3769,0.89,0.2158,driving,
2944.3856,0.89,0.2424,driving,
2944.3921,0.89,0.2668,driving,
2944.4007,0.89,0.2882,driving,
2944.4072,0.89,0.3066,driving,
2944.4148,0.89,0.3226,driving,
2944.4224,0.89,0.3365,driving,
2944.4298,0.89,0.3486,driving,
2944.4375,0.89,0.3595,driving,
2944.4448,0.89,0.3701,driving,
2944.4525,0.89,0.3805,driving,
2944.4597,0.89,0.3914,driving,
2944.4674,0.89,0.4025,driving,
2944.4748,0.89,0.4134,driving,
2944.4825,0.89,0.4239,driving,
2944.4901,0.89,0.4342,driving,
2944.4976,0.89,0.4446,driving,
2944.5052,0.89,0.4552,driving,
2944.5127,0.89,0.4671,driving,
2944.5202,0.89,0.481,driving,
2944.5267,0.89,0.4963,driving,
2944.5354,0.89,0.5138,driving,
2944.5419,0.89,0.5327,driving,
2944.5505,0.89,0.552,driving,
2944.5570,0.89,0.5717,driving,
2944.5657,0.89,0.593,driving,
2944.5722,0.89,0.6174,driving,
2944.5796,0.89,0.6453,driving,
2944.5872,0.89,0.6719,driving,
2944.5948,0.89,0.6989,driving,
2944.5955,0.0,0.0,driving,
2946.0650,-0.0,-0.0,driving,
2946.0736,-0.0,-0.0,driving,
2946.0949,-0.0,-0.0,driving,
2946.1173,-0.0,0.1982,driving,
2946.1247,-0.0,0.2137,driving,
2946.1254,-0.0053,0.2137,driving,
2946.1323,-0.0053,0.2463,driving,
2946.1327,-0.0211,0.2463,driving,
2946.1397,-0.0211,0.2851,driving,
2946.1403,-0.0352,0.2851,driving,
2946.1473,-0.0352,0.3284,driving,
2946.1479,-0.0482,0.3284,driving,
2946.1549,-0.0482,0.5996,driving,
2946.1556,-0.0611,0.5996,driving,
2946.1625,-0.0611,0.6115,driving,
2946.1632,-0.0755,0.6115,driving,
2946.1702,-0.0755,0.6395,driving,
2946.1708,-0.0904,0.6395,driving,
2946.1777,-0.0904,0.6772,driving,
2946.1783,-0.1083,0.6772,driving,
2946.1852,-0.1083,0.7213,driving,
2946.1858,-0.1295,0.7213,driving,
2946.1918,-0.1295,0.957,driving,
2946.1924,-0.1542,0.957,driving,
2946.2005,-0.1542,1.0,driving,
2946.2011,-0.1834,1.0,driving,
2946.2069,-0.2145,1.0,driving,
2946.2156,-0.2407,1.0,driving,
2946.2221,-0.266,1.0,driving,
2946.2307,-0.2895,1.0,driving,
2946.2372,-0.3098,1.0,driving,
2946.2448,-0.3266,1.0,driving,
2946.2524,-0.3408,1.0,driving,
2946.2600,-0.3533,1.0,driving,
2946.2675,-0.3643,1.0,driving,
2946.2751,-0.3753,1.0,driving,
2946.2826,-0.3869,1.0,driving,
2946.2903,-0.3976,1.0,driving,
2946.2967,-0.4072,1.0,driving,
2946.3054,-0.416,1.0,driving,
2946.3119,-0.416,0.9997,driving,
2946.3125,-0.424,0.9997,driving,
2946.3208,-0.424,0.9995,driving,
2946.3215,-0.4307,0.9995,driving,
2946.3272,-0.4361,0.9995,driving,
2946.3348,-0.4406,0.9995,driving,
2946.3423,-0.4445,0.9995,driving,
2946.3499,-0.4479,0.9995,driving,
2946.3575,-0.451,0.9995,driving,
2946.3650,-0.451,0.9953,driving,
2946.3656,-0.4537,0.9953,driving,
2946.3726,-0.4561,0.9953,driving,
2946.3802,-0.4581,0.9953,driving,
2946.3953,-0.4611,0.9953,driving,
2946.4018,-0.4611,0.992,driving,
2946.4168,-0.4637,0.992,driving,
2946.4371,-0.4637,0.992,driving,
2946.4768,-0.4637,0.992,driving,
2946.4972,-0.4637,0.992,driving,
2946.5176,-0.4637,0.992,driving,
2946.5380,-0.4637,0.992,driving,
2946.5520,-0.4657,0.992,driving,
2946.5606,-0.46,0.992,driving,
2946.5671,-0.46,0.985,driving,
2946.5677,-0.4462,0.985,driving,
2946.5747,-0.4462,0.9719,driving,
2946.5753,-0.4284,0.9719,driving,
2946.5824,-0.4284,0.9448,driving,
2946.5829,-0.4044,0.9448,driving,
2946.5902,-0.4044,0.9032,driving,
2946.5908,-0.3744,0.9032,driving,
2946.5914,0.0,0.0,driving,
2948.2103,-0.0,-0.0563,driving,
2948.2176,-0.0,-0.0775,driving,
2948.2253,-0.0,-0.1072,driving,
2948.2319,-0.0,-0.1473,driving,
2948.2407,-0.0,-0.4026,driving,
2948.2474,-0.0,-0.4235,driving,
2948.2551,-0.0,-0.4613,driving,
2948.2627,-0.0,-0.7384,driving,
2948.2702,-0.0,-0.7597,driving,
2948.2767,-0.0,-1.0,driving,
2948.2856,-0.1086,-1.0,driving,
2948.2922,-0.1305,-1.0,driving,
2948.2999,-0.1528,-1.0,driving,
2948.3075,-0.1706,-1.0,driving,
2948.3151,-0.1846,-1.0,driving,
2948.3227,-0.1957,-1.0,driving,
2948.3304,-0.2043,-1.0,driving,
2948.3369,-0.2107,-1.0,driving,
2948.3605,-0.2078,-1.0,driving,
2948.3671,-0.2042,-1.0,driving,
2948.3757,-0.2002,-1.0,driving,
2948.3823,-0.1959,-1.0,driving,
2948.3899,-0.1915,-1.0,driving,
2948.3976,-0.1878,-1.0,driving,
2948.4052,-0.1848,-1.0,driving,
2948.4203,-0.1798,-1.0,driving,
2948.4354,-0.1765,-1.0,driving,
2948.4558,-0.1765,-1.0,driving,
2948.4719,-0.1735,-1.0,driving,
2948.5117,-0.1735,-1.0,driving,
2948.5319,-0.1735,-1.0,driving,
2948.5716,-0.1735,-1.0,driving,
2948.5921,-0.1735,-1.0,driving,
2948.6071,-0.1762,-1.0,driving,
2948.6146,-0.1798,-1.0,driving,
2948.6222,-0.1862,-1.0,driving,
2948.6297,-0.194,-1.0,driving,
2948.6372,-0.2014,-1.0,driving,
2948.6447,-0.2086,-1.0,driving,
2948.6524,-0.2159,-1.0,driving,
2948.6601,-0.2247,-1.0,driving,
2948.6675,-0.2341,-1.0,driving,
2948.6750,-0.2438,-1.0,driving,
2948.6756,0.0,0.0,driving,
2951.5773,0.1201,-0.0807,driving,
2951.5860,0.1201,-0.1136,driving,
2951.5871,0.1529,-0.1136,driving,
2951.5924,0.1529,-0.1553,driving,
2951.5930,0.1895,-0.1553,driving,
2951.5999,0.1895,-0.4069,driving,
2951.6005,0.2275,-0.4069,driving,
2951.6075,0.2275,-0.4243,driving,
2951.6081,0.4597,-0.4243,driving,
2951.6151,0.4597,-0.4572,driving,
